elapsed_s,phase,arms_ma,head_ma,total_ma
1.445,simultaneous_pose,136.5,0.0,136.5
1.448,simultaneous_pose,123.5,0.0,123.5
1.45,simultaneous_pose,136.5,0.0,136.5
1.453,simultaneous_pose,136.5,0.0,136.5
1.455,simultaneous_pose,143.0,0.0,143.0
1.458,simultaneous_pose,156.0,0.0,156.0
1.461,simultaneous_pose,130.0,0.0,130.0
1.463,simultaneous_pose,143.0,6.5,149.5
1.466,simultaneous_pose,136.5,6.5,143.0
1.469,simultaneous_pose,130.0,0.0,130.0
1.471,simultaneous_pose,149.5,0.0,149.5
1.474,simultaneous_pose,130.0,0.0,130.0
1.476,simultaneous_pose,110.5,0.0,110.5
1.479,simultaneous_pose,117.0,0.0,117.0
1.482,simultaneous_pose,143.0,0.0,143.0
1.484,simultaneous_pose,123.5,0.0,123.5
1.487,simultaneous_pose,110.5,0.0,110.5
1.489,simultaneous_pose,130.0,0.0,130.0
1.492,simultaneous_pose,117.0,0.0,117.0
1.494,simultaneous_pose,136.5,0.0,136.5
1.497,simultaneous_pose,130.0,0.0,130.0
1.5,simultaneous_pose,117.0,0.0,117.0
1.502,simultaneous_pose,123.5,0.0,123.5
1.505,simultaneous_pose,117.0,0.0,117.0
1.507,simultaneous_pose,110.5,0.0,110.5
1.51,simultaneous_pose,130.0,0.0,130.0
1.513,simultaneous_pose,123.5,6.5,130.0
1.515,simultaneous_pose,130.0,6.5,136.5
1.518,simultaneous_pose,110.5,0.0,110.5
1.521,simultaneous_pose,123.5,0.0,123.5
1.523,simultaneous_pose,130.0,0.0,130.0
1.526,simultaneous_pose,104.0,0.0,104.0
1.528,simultaneous_pose,117.0,0.0,117.0
1.531,simultaneous_pose,123.5,0.0,123.5
1.534,simultaneous_pose,149.5,0.0,149.5
1.536,simultaneous_pose,123.5,0.0,123.5
1.539,simultaneous_pose,143.0,0.0,143.0
1.541,simultaneous_pose,117.0,0.0,117.0
1.544,simultaneous_pose,143.0,0.0,143.0
1.546,simultaneous_pose,136.5,0.0,136.5
1.549,simultaneous_pose,136.5,0.0,136.5
1.552,simultaneous_pose,136.5,0.0,136.5
1.554,simultaneous_pose,130.0,0.0,130.0
1.557,simultaneous_pose,123.5,0.0,123.5
1.559,simultaneous_pose,123.5,0.0,123.5
1.562,simultaneous_pose,117.0,0.0,117.0
1.565,simultaneous_pose,136.5,0.0,136.5
1.567,simultaneous_pose,123.5,0.0,123.5
1.57,simultaneous_pose,117.0,0.0,117.0
1.572,simultaneous_pose,123.5,0.0,123.5
1.575,simultaneous_pose,117.0,0.0,117.0
1.577,simultaneous_pose,117.0,0.0,117.0
1.58,simultaneous_pose,130.0,0.0,130.0
1.583,simultaneous_pose,143.0,0.0,143.0
1.585,simultaneous_pose,149.5,0.0,149.5
1.588,simultaneous_pose,136.5,6.5,143.0
1.591,simultaneous_pose,130.0,0.0,130.0
1.593,simultaneous_pose,123.5,0.0,123.5
1.596,simultaneous_pose,149.5,0.0,149.5
1.599,simultaneous_pose,162.5,6.5,169.0
1.601,simultaneous_pose,117.0,0.0,117.0
1.604,simultaneous_pose,136.5,0.0,136.5
1.606,simultaneous_pose,143.0,0.0,143.0
1.609,simultaneous_pose,143.0,6.5,149.5
1.611,simultaneous_pose,123.5,0.0,123.5
1.614,simultaneous_pose,110.5,0.0,110.5
1.617,simultaneous_pose,110.5,0.0,110.5
1.619,simultaneous_pose,97.5,0.0,97.5
1.622,simultaneous_pose,117.0,0.0,117.0
1.624,simultaneous_pose,110.5,0.0,110.5
1.627,simultaneous_pose,117.0,0.0,117.0
1.63,simultaneous_pose,123.5,0.0,123.5
1.632,simultaneous_pose,130.0,0.0,130.0
1.635,simultaneous_pose,117.0,0.0,117.0
