elapsed_s,timestamp,millivolts,milliamps,active_motors,phase
27.8934,2026-08-28T03:51:10.419725+00:00,5072,816,14,enable_right_gripper
27.8947,2026-08-28T03:51:10.420981+00:00,5072,816,14,enable_right_gripper
27.8959,2026-08-28T03:51:10.422238+00:00,5072,816,14,enable_right_gripper
27.8972,2026-08-28T03:51:10.423494+00:00,5072,816,14,enable_right_gripper
27.8985,2026-08-28T03:51:10.424752+00:00,5072,816,14,enable_right_gripper
27.8997,2026-08-28T03:51:10.426009+00:00,5072,816,14,enable_right_gripper
27.9010,2026-08-28T03:51:10.427268+00:00,5072,816,14,enable_right_gripper
27.9022,2026-08-28T03:51:10.428527+00:00,5072,816,14,enable_right_gripper
27.9035,2026-08-28T03:51:10.429812+00:00,5072,816,14,enable_right_gripper
27.9050,2026-08-28T03:51:10.431284+00:00,5072,816,14,enable_right_gripper
27.9065,2026-08-28T03:51:10.432755+00:00,5072,816,14,enable_right_gripper
27.9079,2026-08-28T03:51:10.434224+00:00,5072,816,14,enable_right_gripper
27.9094,2026-08-28T03:51:10.435698+00:00,5072,816,14,enable_right_gripper
27.9109,2026-08-28T03:51:10.437236+00:00,5072,816,14,enable_right_gripper
27.9122,2026-08-28T03:51:10.438537+00:00,5072,816,14,enable_right_gripper
27.9135,2026-08-28T03:51:10.439798+00:00,5072,816,14,enable_right_gripper
27.9148,2026-08-28T03:51:10.441055+00:00,5072,816,14,enable_right_gripper
27.9160,2026-08-28T03:51:10.442311+00:00,5072,816,14,enable_right_gripper
27.9173,2026-08-28T03:51:10.443569+00:00,5072,816,14,enable_right_gripper
27.9185,2026-08-28T03:51:10.444826+00:00,5072,816,14,enable_right_gripper
27.9198,2026-08-28T03:51:10.446084+00:00,5072,816,14,enable_right_gripper
27.9212,2026-08-28T03:51:10.447511+00:00,5072,816,14,enable_right_gripper
27.9227,2026-08-28T03:51:10.448985+00:00,5072,816,14,enable_right_gripper
27.9241,2026-08-28T03:51:10.450454+00:00,5072,816,14,enable_right_gripper
27.9256,2026-08-28T03:51:10.451930+00:00,5072,816,14,enable_right_gripper
27.9271,2026-08-28T03:51:10.453411+00:00,5072,816,14,enable_right_gripper
27.9286,2026-08-28T03:51:10.454931+00:00,5072,816,14,enable_right_gripper
27.9299,2026-08-28T03:51:10.456192+00:00,5072,816,14,enable_right_gripper
27.9311,2026-08-28T03:51:10.457449+00:00,5072,816,14,enable_right_gripper
27.9324,2026-08-28T03:51:10.458705+00:00,5072,816,14,enable_right_gripper
27.9337,2026-08-28T03:51:10.460004+00:00,5072,816,14,enable_right_gripper
27.9350,2026-08-28T03:51:10.461330+00:00,5072,816,14,enable_right_gripper
27.9363,2026-08-28T03:51:10.462589+00:00,5072,816,14,enable_right_gripper
27.9376,2026-08-28T03:51:10.463879+00:00,5072,816,14,enable_right_gripper
27.9390,2026-08-28T03:51:10.465348+00:00,5072,816,14,enable_right_gripper
27.9405,2026-08-28T03:51:10.466828+00:00,5072,816,14,enable_right_gripper
27.9420,2026-08-28T03:51:10.468301+00:00,5072,816,14,enable_right_gripper
27.9435,2026-08-28T03:51:10.469770+00:00,5072,816,14,enable_right_gripper
27.9449,2026-08-28T03:51:10.471242+00:00,5072,816,14,enable_right_gripper
27.9465,2026-08-28T03:51:10.472779+00:00,5072,816,14,enable_right_gripper
27.9478,2026-08-28T03:51:10.474077+00:00,5072,816,14,enable_right_gripper
27.9490,2026-08-28T03:51:10.475345+00:00,5072,816,14,enable_right_gripper
27.9503,2026-08-28T03:51:10.476605+00:00,5072,816,14,enable_right_gripper
27.9516,2026-08-28T03:51:10.477891+00:00,5072,816,14,enable_right_gripper
27.9528,2026-08-28T03:51:10.479149+00:00,5072,816,14,enable_right_gripper
27.9541,2026-08-28T03:51:10.480416+00:00,5072,816,14,enable_right_gripper
27.9554,2026-08-28T03:51:10.481727+00:00,5072,816,14,enable_right_gripper
27.9569,2026-08-28T03:51:10.483193+00:00,5072,816,14,enable_right_gripper
27.9584,2026-08-28T03:51:10.484668+00:00,5072,816,14,enable_right_gripper
27.9598,2026-08-28T03:51:10.486134+00:00,5072,816,14,enable_right_gripper
27.9613,2026-08-28T03:51:10.487606+00:00,5072,816,14,enable_right_gripper
27.9628,2026-08-28T03:51:10.489080+00:00,5072,816,14,enable_right_gripper
27.9642,2026-08-28T03:51:10.490457+00:00,5072,816,14,enable_right_gripper
27.9654,2026-08-28T03:51:10.491726+00:00,5072,816,14,enable_right_gripper
27.9667,2026-08-28T03:51:10.492983+00:00,5072,816,14,enable_right_gripper
27.9679,2026-08-28T03:51:10.494238+00:00,5072,816,14,enable_right_gripper
27.9692,2026-08-28T03:51:10.495497+00:00,5072,816,14,enable_right_gripper
27.9705,2026-08-28T03:51:10.496757+00:00,5072,816,14,enable_right_gripper
27.9717,2026-08-28T03:51:10.498013+00:00,5072,816,14,enable_right_gripper
27.9730,2026-08-28T03:51:10.499308+00:00,5072,816,14,enable_right_gripper
27.9745,2026-08-28T03:51:10.500775+00:00,5072,816,14,enable_right_gripper
27.9759,2026-08-28T03:51:10.502247+00:00,5072,816,14,enable_right_gripper
27.9774,2026-08-28T03:51:10.503721+00:00,5072,816,14,enable_right_gripper
27.9789,2026-08-28T03:51:10.505192+00:00,5072,816,14,enable_right_gripper
27.9803,2026-08-28T03:51:10.506638+00:00,5072,816,14,enable_right_gripper
27.9816,2026-08-28T03:51:10.507947+00:00,5072,816,14,enable_right_gripper
27.9829,2026-08-28T03:51:10.509205+00:00,5072,816,14,enable_right_gripper
27.9842,2026-08-28T03:51:10.510464+00:00,5072,816,14,enable_right_gripper
27.9854,2026-08-28T03:51:10.511732+00:00,5072,816,14,enable_right_gripper
27.9867,2026-08-28T03:51:10.512989+00:00,5072,816,14,enable_right_gripper
27.9879,2026-08-28T03:51:10.514244+00:00,5072,816,14,enable_right_gripper
27.9892,2026-08-28T03:51:10.515500+00:00,5072,816,14,enable_right_gripper
27.9905,2026-08-28T03:51:10.516787+00:00,5072,816,14,enable_right_gripper
27.9919,2026-08-28T03:51:10.518247+00:00,5072,816,14,enable_right_gripper
27.9934,2026-08-28T03:51:10.519718+00:00,5072,816,14,enable_right_gripper
27.9949,2026-08-28T03:51:10.521186+00:00,5072,816,14,enable_right_gripper
27.9963,2026-08-28T03:51:10.522649+00:00,5072,816,14,enable_right_gripper
27.9978,2026-08-28T03:51:10.524154+00:00,5072,816,14,enable_right_gripper
27.9993,2026-08-28T03:51:10.525585+00:00,5072,816,14,enable_right_gripper
28.0006,2026-08-28T03:51:10.526885+00:00,5072,816,14,enable_right_gripper
28.0018,2026-08-28T03:51:10.528141+00:00,5072,816,14,enable_right_gripper
28.0031,2026-08-28T03:51:10.529396+00:00,5072,816,14,enable_right_gripper
