09-01-2026 21:39:37 RAM 3968/7620MB (lfb 2x4MB) SWAP 0/3810MB (cached 0MB) CPU [23%@1497,18%@1497,19%@1497,15%@1497,29%@729,31%@729] GR3D_FREQ 64% cpu@67.937C soc2@66.312C soc0@66.687C gpu@69.875C tj@69.875C soc1@65.906C VDD_IN 21809mW/21331mW VDD_CPU_GPU_CV 8159mW/8203mW VDD_SOC 7951mW/7660mW
09-01-2026 21:39:42 RAM 3976/7620MB (lfb 3x4MB) SWAP 0/3810MB (cached 0MB) CPU [22%@729,23%@729,25%@729,12%@729,33%@960,28%@960] GR3D_FREQ 99% cpu@68.25C soc2@66.343C soc0@66.718C gpu@70.437C tj@70.437C soc1@65.906C VDD_IN 22162mW/21345mW VDD_CPU_GPU_CV 8666mW/8211mW VDD_SOC 7833mW/7663mW
09-01-2026 21:39:47 RAM 3973/7620MB (lfb 3x4MB) SWAP 0/3810MB (cached 0MB) CPU [21%@1420,18%@1420,26%@1420,11%@1420,30%@729,30%@729] GR3D_FREQ 50% cpu@67.937C soc2@66.406C soc0@66.718C gpu@69.906C tj@69.906C soc1@66.031C VDD_IN 21927mW/21355mW VDD_CPU_GPU_CV 8276mW/8212mW VDD_SOC 7990mW/7668mW
09-01-2026 21:39:52 RAM 3976/7620MB (lfb 2x4MB) SWAP 0/3810MB (cached 0MB) CPU [24%@729,18%@729,23%@729,17%@729,30%@729,26%@729] GR3D_FREQ 99% cpu@68.156C soc2@66.281C soc0@66.625C gpu@70.781C tj@70.781C soc1@65.875C VDD_IN 22244mW/21370mW VDD_CPU_GPU_CV 8823mW/8222mW VDD_SOC 7833mW/7671mW
09-01-2026 21:39:57 RAM 3978/7620MB (lfb 2x4MB) SWAP 0/3810MB (cached 0MB) CPU [25%@1728,23%@1728,21%@1728,13%@1728,26%@729,26%@729] GR3D_FREQ 99% cpu@68.281C soc2@66.468C soc0@66.812C gpu@70.468C tj@70.468C soc1@65.875C VDD_IN 21966mW/21380mW VDD_CPU_GPU_CV 8432mW/8225mW VDD_SOC 7911mW/7675mW
09-01-2026 21:40:02 RAM 3982/7620MB (lfb 2x4MB) SWAP 0/3810MB (cached 0MB) CPU [21%@729,29%@729,21%@729,15%@729,24%@729,26%@729] GR3D_FREQ 99% cpu@68.406C soc2@66.5C soc0@66.625C gpu@70.468C tj@70.468C soc1@65.906C VDD_IN 22283mW/21394mW VDD_CPU_GPU_CV 8627mW/8232mW VDD_SOC 8029mW/7681mW
09-01-2026 21:40:07 RAM 3982/7620MB (lfb 3x4MB) SWAP 0/3810MB (cached 0MB) CPU [28%@1267,27%@1267,20%@1267,22%@1267,29%@729,21%@729] GR3D_FREQ 99% cpu@68.156C soc2@66.5C soc0@66.812C gpu@70.718C tj@70.718C soc1@65.968C VDD_IN 22401mW/21410mW VDD_CPU_GPU_CV 8823mW/8241mW VDD_SOC 7951mW/7685mW
09-01-2026 21:40:12 RAM 3992/7620MB (lfb 2x4MB) SWAP 0/3810MB (cached 0MB) CPU [33%@1651,24%@1651,23%@1651,16%@1651,26%@1036,13%@1036] GR3D_FREQ 99% cpu@68.406C soc2@66.468C soc0@66.812C gpu@70.468C tj@70.468C soc1@65.937C VDD_IN 22166mW/21422mW VDD_CPU_GPU_CV 8588mW/8247mW VDD_SOC 7951mW/7689mW
09-01-2026 21:40:17 RAM 3983/7620MB (lfb 3x4MB) SWAP 0/3810MB (cached 0MB) CPU [26%@729,20%@729,17%@729,19%@729,27%@729,30%@729] GR3D_FREQ 99% cpu@68.406C soc2@66.468C soc0@66.812C gpu@70.625C tj@70.625C soc1@66.062C VDD_IN 22283mW/21435mW VDD_CPU_GPU_CV 8823mW/8256mW VDD_SOC 7833mW/7691mW
09-01-2026 21:40:22 RAM 3998/7620MB (lfb 3x4MB) SWAP 0/3810MB (cached 0MB) CPU [21%@1574,25%@1574,35%@1574,20%@1574,23%@1344,13%@1344] GR3D_FREQ 99% cpu@68.468C soc2@66.468C soc0@66.937C gpu@70.812C tj@70.812C soc1@65.937C VDD_IN 22362mW/21449mW VDD_CPU_GPU_CV 8744mW/8263mW VDD_SOC 7990mW/7696mW
09-01-2026 21:40:27 RAM 3988/7620MB (lfb 3x4MB) SWAP 0/3810MB (cached 0MB) CPU [19%@1728,22%@1728,24%@1728,13%@1728,30%@729,23%@729] GR3D_FREQ 30% cpu@68.406C soc2@66.406C soc0@66.906C gpu@70.125C tj@70.125C soc1@66C VDD_IN 21730mW/21454mW VDD_CPU_GPU_CV 8198mW/8262mW VDD_SOC 7911mW/7699mW
