t_s,vdd_in_mV,vdd_in_mA,servo_current_sum_raw,left.elbow_flex,left.gripper,left.shoulder_lift,left.shoulder_pan,left.wrist_flex,left.wrist_roll
15.9998,,,19,4,1,11,1,1,1
16.036,,,8,2,0,6,0,0,0
16.0684,,,9,3,0,4,1,0,1
16.1046,,,9,3,1,4,0,1,0
16.1388,,,8,3,1,3,0,1,0
16.1711,,,7,2,0,4,0,1,0
16.2065,,,8,3,0,4,0,1,0
16.2402,,,8,3,1,4,0,0,0
16.2727,,,8,3,1,4,0,0,0
16.306,,,8,3,1,4,0,0,0
16.3423,,,9,3,1,4,0,1,0
16.3785,,,9,3,1,4,1,0,0
16.4132,,,10,3,0,5,1,1,0
16.4458,,,11,4,0,4,1,1,1
16.4819,,,10,3,1,4,0,1,1
16.5175,,,8,3,0,4,0,1,0
16.5537,,,9,3,1,4,0,1,0
16.5882,,,10,3,1,5,0,1,0
16.6215,,,10,3,1,5,0,1,0
16.6577,,,38,1,5,21,7,4,0
16.6939,,,112,8,24,42,25,13,0
16.7298,,,185,12,16,64,66,27,0
16.7662,,,217,29,7,97,50,34,0
16.8025,,,172,46,10,78,0,38,0
16.8388,,,92,10,10,51,0,21,0
16.8731,,,52,0,10,25,0,16,1
16.9074,,,38,0,8,26,0,4,0
16.9439,,,19,0,8,4,5,1,1
16.9796,,,13,0,9,0,0,4,0
17.0149,,,13,0,9,0,3,0,1
17.0502,,,13,0,7,4,1,0,1
17.0854,,,16,2,8,4,2,0,0
17.1174,,,14,1,10,1,2,0,0
17.1526,,,14,0,8,3,2,0,1
17.1889,,,13,0,11,1,1,0,0
17.2254,,,6,0,0,5,1,0,0
17.2616,,,3,0,0,1,2,0,0
17.2965,,,2,0,0,1,1,0,0
17.3328,,,3,0,2,0,0,0,1
17.3692,,,1,0,1,0,0,0,0
17.4055,,,2,0,1,0,0,0,1
17.4382,,,3,0,1,0,1,1,0
17.4745,,,5,0,1,0,2,1,1
17.5107,,,4,0,1,1,1,0,1
17.5461,,,4,0,2,0,1,0,1
17.5825,,,3,0,1,1,1,0,0
17.6171,,,5,1,1,1,1,0,1
17.6534,,,5,1,1,1,2,0,0
17.6869,,,4,0,2,0,1,0,1
17.7232,,,4,1,1,1,1,0,0
17.7595,,,5,1,1,1,2,0,0
17.7908,,,4,1,1,1,1,0,0
17.8224,,,4,1,1,1,1,0,0
17.8549,,,4,1,1,0,1,0,1
17.8875,,,4,1,1,0,1,0,1
17.924,,,4,0,2,0,2,0,0
17.9603,,,3,0,1,1,1,0,0
17.9965,,,5,0,1,1,1,1,1
18.0313,,,3,0,0,1,1,0,1
18.0676,,,5,1,1,0,2,0,1
18.1038,,,3,1,1,0,1,0,0
18.1359,,,5,1,1,1,1,0,1
18.1722,,,45,14,7,8,7,8,1
18.2085,,,140,48,28,16,24,23,1
18.2447,,,200,78,13,28,39,42,0
18.2808,,,257,123,8,46,16,64,0
18.3155,,,188,88,9,48,0,43,0
18.3502,,,119,59,9,22,0,29,0
18.3859,,,113,55,8,20,0,29,1
18.4181,,,51,0,10,19,0,21,1
18.4515,,,31,0,8,0,1,21,1
18.485,,,27,0,7,0,1,19,0
18.5169,,,26,7,8,0,1,10,0
18.5489,,,36,27,8,0,1,0,0
18.5851,,,26,16,8,2,0,0,0
18.6215,,,18,7,8,0,0,2,1
18.6548,,,13,5,8,0,0,0,0
18.6911,,,15,4,9,0,1,1,0
18.7273,,,6,4,0,0,1,1,0
18.7635,,,9,6,0,0,1,2,0
18.7997,,,12,6,1,1,1,2,1
18.8311,,,13,6,0,2,1,3,1
18.8673,,,11,6,0,2,1,2,0
18.9035,,,14,7,1,2,1,2,1
18.9356,,,10,5,1,1,1,1,1
18.9684,,,9,6,1,1,0,0,1
19.0047,,,11,6,1,2,1,1,0
19.0362,,,9,6,1,2,0,0,0
19.0724,,,10,6,1,2,0,1,0
19.1054,,,12,6,1,2,1,1,1
19.1417,,,9,6,0,1,1,1,0
19.1743,,,11,6,2,1,0,1,1
19.2106,,,11,6,1,2,1,1,0
19.246,,,10,6,2,1,0,1,0
19.2789,,,8,5,1,1,0,1,0
19.3152,,,11,7,0,1,1,1,1
19.3514,,,9,5,1,1,0,1,1
19.3842,,,10,6,1,2,0,1,0
19.4158,,,10,5,1,2,0,1,1
19.448,,,9,5,1,2,0,1,0
19.4798,,,11,6,1,2,0,1,1
19.516,,,11,6,1,2,0,1,1
19.5505,,,9,6,1,1,0,1,0
19.5865,,,9,6,1,1,0,1,0
19.6225,,,11,5,1,2,1,1,1
19.6589,,,15,2,2,6,4,1,0
19.6916,,,71,5,14,29,14,9,0
19.7278,,,156,11,25,56,46,17,1
19.7638,,,224,21,11,89,70,32,1
19.7964,,,209,40,7,108,7,47,0
19.8328,,,120,21,8,67,0,23,1
19.869,,,64,0,12,35,0,17,0
19.9012,,,42,0,10,20,0,11,1
19.9372,,,53,0,8,36,8,1,0
19.9729,,,11,0,10,0,1,0,0
20.0082,,,11,0,10,0,1,0,0
20.04,,,14,0,8,0,5,0,1
20.0729,,,13,0,9,4,0,0,0
20.1088,,,14,1,9,4,0,0,0
20.1437,,,11,0,8,0,3,0,0
20.1757,,,14,0,10,3,0,1,0
20.2119,,,11,0,9,1,1,0,0
