elapsed_s,timestamp,bus,motor,position,temp_c,current,load,target,baseline
689.8,2026-08-05T03:28:18.027041+00:00,arms,left_gripper,2014,37,0,0,2014,2014
689.8,2026-08-05T03:28:18.027041+00:00,arms,right_shoulder_pan,1960,38,1,1066,1974,1960
689.8,2026-08-05T03:28:18.027041+00:00,arms,right_shoulder_lift,2096,40,5,108,2049,2092
689.8,2026-08-05T03:28:18.027041+00:00,arms,right_elbow_flex,2128,40,4,76,2097,2126
689.8,2026-08-05T03:28:18.027041+00:00,arms,right_wrist_flex,1984,35,1,30,1976,1983
689.8,2026-08-05T03:28:18.027041+00:00,arms,right_wrist_roll,2112,34,0,1042,2114,2112
689.8,2026-08-05T03:28:18.027041+00:00,arms,right_gripper,2487,39,1,38,2475,2487
689.8,2026-08-05T03:28:18.027041+00:00,head,head_motor_1,2158,26,0,0,,
689.8,2026-08-05T03:28:18.027041+00:00,head,head_motor_2,1944,27,0,0,,
689.8,2026-08-05T03:28:18.027041+00:00,head,base_left_wheel,3450,26,0,0,,
689.8,2026-08-05T03:28:18.027041+00:00,head,base_back_wheel,3497,27,0,0,,
689.8,2026-08-05T03:28:18.027041+00:00,head,base_right_wheel,2174,27,0,0,,
690.8,2026-08-05T03:28:19.028091+00:00,arms,left_shoulder_pan,1857,37,0,0,1857,1857
690.8,2026-08-05T03:28:19.028091+00:00,arms,left_shoulder_lift,2407,37,3,84,2389,2406
690.8,2026-08-05T03:28:19.028091+00:00,arms,left_elbow_flex,1641,36,2,60,1629,1641
690.8,2026-08-05T03:28:19.028091+00:00,arms,left_wrist_flex,2174,35,1,32,2169,2174
690.8,2026-08-05T03:28:19.028091+00:00,arms,left_wrist_roll,1987,34,0,1044,1989,1987
690.8,2026-08-05T03:28:19.028091+00:00,arms,left_gripper,2014,37,0,0,2014,2014
690.8,2026-08-05T03:28:19.028091+00:00,arms,right_shoulder_pan,1960,38,1,1066,1974,1960
690.8,2026-08-05T03:28:19.028091+00:00,arms,right_shoulder_lift,2096,40,6,108,2049,2092
690.8,2026-08-05T03:28:19.028091+00:00,arms,right_elbow_flex,2128,40,3,76,2097,2126
690.8,2026-08-05T03:28:19.028091+00:00,arms,right_wrist_flex,1984,35,0,30,1976,1983
690.8,2026-08-05T03:28:19.028091+00:00,arms,right_wrist_roll,2112,34,1,1042,2114,2112
690.8,2026-08-05T03:28:19.028091+00:00,arms,right_gripper,2487,39,0,38,2475,2487
690.8,2026-08-05T03:28:19.028091+00:00,head,head_motor_1,2158,26,0,0,,
690.8,2026-08-05T03:28:19.028091+00:00,head,head_motor_2,1944,27,0,0,,
690.8,2026-08-05T03:28:19.028091+00:00,head,base_left_wheel,3450,26,0,0,,
