elapsed_s,timestamp,motor,commanded,position,error,temp_c,current,load
37.934,2026-08-05T05:59:09.390077+00:00,right_gripper,2455,2463,8,38,1,30
37.984,2026-08-05T05:59:09.440627+00:00,left_shoulder_pan,1857,1851,-6,37,1,1060
37.984,2026-08-05T05:59:09.440627+00:00,left_shoulder_lift,2389,2404,15,36,3,72
37.984,2026-08-05T05:59:09.440627+00:00,left_elbow_flex,1629,1643,14,34,3,68
37.984,2026-08-05T05:59:09.440627+00:00,left_wrist_flex,2169,2172,3,34,0,24
37.984,2026-08-05T05:59:09.440627+00:00,left_wrist_roll,1989,1987,-2,34,0,1044
37.984,2026-08-05T05:59:09.440627+00:00,left_gripper,2014,2014,0,36,0,0
37.984,2026-08-05T05:59:09.440627+00:00,right_shoulder_pan,1774,1784,10,37,0,34
37.984,2026-08-05T05:59:09.440627+00:00,right_shoulder_lift,2048,2174,126,38,35,266
37.984,2026-08-05T05:59:09.440627+00:00,right_elbow_flex,2097,2134,37,37,4,88
37.984,2026-08-05T05:59:09.440627+00:00,right_wrist_flex,1976,1991,15,35,1,44
37.984,2026-08-05T05:59:09.440627+00:00,right_wrist_roll,2114,2112,-2,34,1,1042
37.984,2026-08-05T05:59:09.440627+00:00,right_gripper,2455,2463,8,38,1,30
38.035,2026-08-05T05:59:09.491091+00:00,left_shoulder_pan,1857,1851,-6,37,1,1060
38.035,2026-08-05T05:59:09.491091+00:00,left_shoulder_lift,2389,2404,15,36,3,72
38.035,2026-08-05T05:59:09.491091+00:00,left_elbow_flex,1629,1643,14,34,3,68
38.035,2026-08-05T05:59:09.491091+00:00,left_wrist_flex,2169,2172,3,34,0,24
38.035,2026-08-05T05:59:09.491091+00:00,left_wrist_roll,1989,1987,-2,34,0,1044
38.035,2026-08-05T05:59:09.491091+00:00,left_gripper,2014,2014,0,37,0,0
38.035,2026-08-05T05:59:09.491091+00:00,right_shoulder_pan,1774,1784,10,37,1,36
38.035,2026-08-05T05:59:09.491091+00:00,right_shoulder_lift,2052,2174,122,38,29,262
38.035,2026-08-05T05:59:09.491091+00:00,right_elbow_flex,2097,2134,37,37,4,88
38.035,2026-08-05T05:59:09.491091+00:00,right_wrist_flex,1976,1991,15,35,1,44
