You have video processor config saved in `preprocessor.json` file which is deprecated. Video processor configs should be saved in their own `video_preprocessor.json` file. You can rename the file or load and save the processor back which renames it automatically. Loading from `preprocessor.json` will be removed in v5.0.
[12:40:04] Device: cuda
[12:40:04] Loading 'rlodhi/smolvla_screw_picking_5000' …
Reducing the number of VLM layers to 16 ...
[12:40:36] Policy ready on cuda (fp16)
[12:40:36] chunk_size=50, n_action_steps=50, num_steps=2
[12:40:36] resize_imgs=(512, 512)
[12:40:36] Image keys : ['observation.images.base', 'observation.images.wrist']
[12:40:36] Action dim : 6
[12:40:36] Task       : 'pick up the object and place it in the box'
[12:40:36] Camera /dev/video2 opened at 424×240
[12:40:36] SW resize   : 424×240 → 320×240

[12:40:36] Warming up for 5 steps, then benchmarking for 60s …

[12:41:17] #  112 [bench] e2e=  364.1ms  infer=  361.5ms  cap=  2.5ms
[12:41:18] #  113 [bench] e2e=  361.7ms  infer=  358.6ms  cap=  2.8ms
[12:41:18] #  114 [bench] e2e=  364.4ms  infer=  362.2ms  cap=  2.0ms
[12:41:18] #  115 [bench] e2e=  361.0ms  infer=  358.1ms  cap=  2.6ms
[12:41:19] #  116 [bench] e2e=  362.9ms  infer=  360.3ms  cap=  2.4ms
[12:41:19] #  117 [bench] e2e=  365.9ms  infer=  363.4ms  cap=  2.4ms
[12:41:19] #  118 [bench] e2e=  362.2ms  infer=  359.7ms  cap=  2.3ms
[12:41:20] #  119 [bench] e2e=  369.2ms  infer=  366.4ms  cap=  2.6ms
[12:41:20] #  120 [bench] e2e=  366.3ms  infer=  363.0ms  cap=  3.1ms
[12:41:21] #  121 [bench] e2e=  363.7ms  infer=  361.2ms  cap=  2.4ms
[12:41:21] #  122 [bench] e2e=  369.5ms  infer=  367.0ms  cap=  2.3ms
[12:41:21] #  123 [bench] e2e=  367.3ms  infer=  365.2ms  cap=  1.9ms
[12:41:22] #  124 [bench] e2e=  362.9ms  infer=  360.0ms  cap=  2.7ms
[12:41:22] #  125 [bench] e2e=  368.9ms  infer=  365.5ms  cap=  3.2ms

  [live] after 120 bench steps — e2e mean=362.3ms  |  max replan freq=2.76 Hz  |  max control freq=138.03 Hz (n_action_steps=50)

[12:41:22] #  126 [bench] e2e=  363.6ms  infer=  360.4ms  cap=  3.0ms
[12:41:23] #  127 [bench] e2e=  367.0ms  infer=  363.8ms  cap=  3.0ms
[12:41:23] #  128 [bench] e2e=  364.4ms  infer=  361.5ms  cap=  2.7ms
[12:41:24] #  129 [bench] e2e=  363.4ms  infer=  360.9ms  cap=  2.4ms
[12:41:24] #  130 [bench] e2e=  368.5ms  infer=  366.1ms  cap=  2.3ms
[12:41:24] #  131 [bench] e2e=  363.2ms  infer=  360.8ms  cap=  2.3ms
[12:41:25] #  132 [bench] e2e=  362.4ms  infer=  360.0ms  cap=  2.2ms
[12:41:25] #  133 [bench] e2e=  370.3ms  infer=  367.1ms  cap=  2.9ms
[12:41:25] #  134 [bench] e2e=  364.0ms  infer=  361.0ms  cap=  2.8ms
