elapsed_s,timestamp,millivolts,milliamps,active_motors,phase
14.5224,2026-08-28T03:27:45.327618+00:00,5072,808,7,enable_left_wrist_roll
14.5239,2026-08-28T03:27:45.329094+00:00,5072,808,7,enable_left_wrist_roll
14.5254,2026-08-28T03:27:45.330582+00:00,5072,808,7,enable_left_wrist_roll
14.5267,2026-08-28T03:27:45.331919+00:00,5072,808,7,enable_left_wrist_roll
14.5280,2026-08-28T03:27:45.333183+00:00,5072,808,7,enable_left_wrist_roll
14.5292,2026-08-28T03:27:45.334442+00:00,5072,808,7,enable_left_wrist_roll
14.5305,2026-08-28T03:27:45.335706+00:00,5072,808,7,enable_left_wrist_roll
14.5318,2026-08-28T03:27:45.336967+00:00,5072,808,7,enable_left_wrist_roll
14.5330,2026-08-28T03:27:45.338224+00:00,5072,808,7,enable_left_wrist_roll
14.5343,2026-08-28T03:27:45.339508+00:00,5072,808,7,enable_left_wrist_roll
14.5358,2026-08-28T03:27:45.340983+00:00,5072,808,7,enable_left_wrist_roll
14.5372,2026-08-28T03:27:45.342455+00:00,5072,808,7,enable_left_wrist_roll
14.5387,2026-08-28T03:27:45.343932+00:00,5072,808,7,enable_left_wrist_roll
14.5402,2026-08-28T03:27:45.345409+00:00,5072,808,7,enable_left_wrist_roll
14.5417,2026-08-28T03:27:45.346881+00:00,5072,808,7,enable_left_wrist_roll
14.5431,2026-08-28T03:27:45.348274+00:00,5072,808,7,enable_left_wrist_roll
14.5443,2026-08-28T03:27:45.349532+00:00,5072,808,7,enable_left_wrist_roll
14.5456,2026-08-28T03:27:45.350801+00:00,5072,808,7,enable_left_wrist_roll
14.5469,2026-08-28T03:27:45.352064+00:00,5072,808,7,enable_left_wrist_roll
14.5481,2026-08-28T03:27:45.353319+00:00,5072,808,7,enable_left_wrist_roll
14.5494,2026-08-28T03:27:45.354576+00:00,5072,808,7,enable_left_wrist_roll
14.5506,2026-08-28T03:27:45.355838+00:00,5072,808,7,enable_left_wrist_roll
14.5519,2026-08-28T03:27:45.357127+00:00,5072,808,7,enable_left_wrist_roll
14.5534,2026-08-28T03:27:45.358591+00:00,5072,808,7,enable_left_wrist_roll
14.5549,2026-08-28T03:27:45.360070+00:00,5072,808,7,enable_left_wrist_roll
14.5563,2026-08-28T03:27:45.361542+00:00,5072,808,7,enable_left_wrist_roll
14.5578,2026-08-28T03:27:45.363014+00:00,5072,808,7,enable_left_wrist_roll
14.5593,2026-08-28T03:27:45.364472+00:00,5072,808,7,enable_left_wrist_roll
14.5606,2026-08-28T03:27:45.365809+00:00,5072,808,7,enable_left_wrist_roll
14.5619,2026-08-28T03:27:45.367066+00:00,5072,808,7,enable_left_wrist_roll
14.5631,2026-08-28T03:27:45.368328+00:00,5072,808,7,enable_left_wrist_roll
14.5644,2026-08-28T03:27:45.369582+00:00,5072,808,7,enable_left_wrist_roll
14.5656,2026-08-28T03:27:45.370841+00:00,5072,808,7,enable_left_wrist_roll
14.5669,2026-08-28T03:27:45.372101+00:00,5072,808,7,enable_left_wrist_roll
14.5681,2026-08-28T03:27:45.373358+00:00,5072,808,7,enable_left_wrist_roll
14.5694,2026-08-28T03:27:45.374613+00:00,5072,808,7,enable_left_wrist_roll
