t_s,vdd_in_mV,vdd_in_mA,servo_current_sum_raw,left.elbow_flex,left.gripper,left.shoulder_lift,left.shoulder_pan,left.wrist_flex,left.wrist_roll
10.805,,,28,0,7,16,0,5,0
10.8384,,,25,1,7,12,0,5,0
10.8707,,,28,0,8,17,1,2,0
10.9055,,,27,0,6,14,1,6,0
10.9417,,,23,0,7,10,0,6,0
10.9778,,,24,0,7,12,1,4,0
11.014,,,28,0,9,17,0,1,1
11.0502,,,22,0,9,10,1,2,0
11.0856,,,21,0,7,9,1,3,1
11.1217,,,22,1,7,10,2,2,0
11.1539,,,21,0,8,9,2,2,0
11.1891,,,5,0,0,0,1,3,1
11.2246,,,5,1,0,0,1,3,0
11.2601,,,8,0,1,1,1,4,1
11.294,,,7,0,1,1,1,3,1
11.3302,,,8,1,1,2,0,3,1
11.3648,,,3,0,0,0,0,3,0
11.3962,,,2,0,0,0,1,1,0
11.43,,,2,0,1,0,1,0,0
11.4663,,,3,0,1,1,1,0,0
11.4985,,,4,1,1,1,1,0,0
11.5346,,,4,1,1,1,0,0,1
11.5708,,,3,1,1,0,1,0,0
11.6058,,,3,1,1,1,0,0,0
11.6377,,,3,1,1,1,0,0,0
11.6739,,,5,1,2,0,1,0,1
11.7075,,,4,1,1,1,1,0,0
11.7437,,,2,0,1,0,1,0,0
11.7799,,,2,1,1,0,0,0,0
11.8135,,,5,1,1,1,1,0,1
11.8466,,,3,0,1,1,1,0,0
11.8826,,,3,0,2,0,1,0,0
11.9163,,,3,0,1,1,0,0,1
11.9496,,,4,1,1,1,1,0,0
11.9856,,,6,0,2,1,1,1,1
12.0167,,,3,0,1,1,1,0,0
12.0502,,,10,4,1,4,1,0,0
12.0859,,,76,28,13,17,15,2,1
12.1207,,,107,38,16,18,29,6,0
12.1563,,,59,25,10,10,8,5,1
12.192,,,50,21,9,8,7,5,0
12.2243,,,51,24,7,5,8,6,1
12.2606,,,43,22,6,7,0,7,1
12.2963,,,42,21,7,7,0,6,1
12.3311,,,45,22,8,5,2,8,0
12.3656,,,47,22,7,8,1,8,1
12.4015,,,45,24,7,4,1,9,0
12.4377,,,44,21,7,5,0,11,0
12.4738,,,40,20,7,4,0,9,0
12.5056,,,42,21,8,3,0,10,0
12.5418,,,45,24,7,1,2,10,1
12.5763,,,37,22,6,0,0,8,1
12.6125,,,24,7,8,0,0,9,0
12.6441,,,25,8,8,0,0,9,0
12.6803,,,22,11,0,0,1,9,1
12.7163,,,26,11,0,2,0,13,0
12.7498,,,20,9,1,1,0,9,0
12.7815,,,18,8,1,0,0,9,0
12.817,,,18,6,0,1,0,10,1
12.8483,,,17,6,1,1,1,8,0
12.88,,,19,6,1,0,1,10,1
12.916,,,20,8,1,1,1,9,0
12.948,,,19,7,1,0,0,10,1
12.9811,,,17,7,1,1,1,7,0
13.0133,,,10,8,0,0,0,1,1
13.0496,,,8,7,0,1,0,0,0
13.0856,,,10,7,0,1,1,1,0
13.1207,,,10,6,0,1,1,2,0
13.155,,,10,7,1,0,0,2,0
13.1868,,,10,7,1,1,0,1,0
13.2229,,,12,7,1,0,1,2,1
13.259,,,12,7,0,1,1,2,1
13.2905,,,10,7,1,0,1,1,0
13.3245,,,10,7,0,0,1,1,1
13.3578,,,13,8,1,1,1,1,1
13.3934,,,13,7,1,1,1,2,1
13.4295,,,13,7,1,1,1,2,1
13.4633,,,9,6,0,1,0,1,1
13.4993,,,12,7,1,1,1,1,1
13.5348,,,9,6,0,1,0,1,1
13.571,,,35,2,7,16,9,0,1
13.6056,,,105,7,26,40,32,0,0
13.6383,,,95,11,13,33,36,2,0
13.6699,,,55,0,10,21,22,2,0
