elapsed_s,timestamp,bus,motor,position,temp_c,current,load,target,baseline
525.6,2026-08-03T23:40:52.645717+00:00,arms,right_wrist_roll,2109,34,1,1048,2114,2109
525.6,2026-08-03T23:40:52.645717+00:00,arms,right_gripper,2073,37,0,0,2073,2073
525.6,2026-08-03T23:40:52.645717+00:00,head,head_motor_1,2158,31,0,0,,
525.6,2026-08-03T23:40:52.645717+00:00,head,head_motor_2,1944,32,0,0,,
525.6,2026-08-03T23:40:52.645717+00:00,head,base_left_wheel,3461,33,0,0,,
525.6,2026-08-03T23:40:52.645717+00:00,head,base_back_wheel,3491,34,0,0,,
525.6,2026-08-03T23:40:52.645717+00:00,head,base_right_wheel,2182,32,0,0,,
526.6,2026-08-03T23:40:53.646827+00:00,arms,left_shoulder_pan,1859,37,1,20,1857,1859
526.6,2026-08-03T23:40:53.646827+00:00,arms,left_shoulder_lift,2403,35,3,68,2389,2402
526.6,2026-08-03T23:40:53.646827+00:00,arms,left_elbow_flex,1645,37,3,76,1629,1645
526.6,2026-08-03T23:40:53.646827+00:00,arms,left_wrist_flex,2171,34,0,20,2169,2171
526.6,2026-08-03T23:40:53.646827+00:00,arms,left_wrist_roll,1987,34,0,1044,1989,1987
526.6,2026-08-03T23:40:53.646827+00:00,arms,left_gripper,2014,37,0,0,2014,2014
526.6,2026-08-03T23:40:53.646827+00:00,arms,right_shoulder_pan,1977,36,0,20,1974,1977
526.6,2026-08-03T23:40:53.646827+00:00,arms,right_shoulder_lift,2130,45,16,176,2049,2128
526.6,2026-08-03T23:40:53.646827+00:00,arms,right_elbow_flex,2139,42,7,98,2097,2136
526.6,2026-08-03T23:40:53.646827+00:00,arms,right_wrist_flex,1998,36,2,58,1976,1997
526.6,2026-08-03T23:40:53.646827+00:00,arms,right_wrist_roll,2109,34,0,1048,2114,2109
526.6,2026-08-03T23:40:53.646827+00:00,arms,right_gripper,2073,37,0,0,2073,2073
526.6,2026-08-03T23:40:53.646827+00:00,head,head_motor_1,2158,31,0,0,,
526.6,2026-08-03T23:40:53.646827+00:00,head,head_motor_2,1944,32,0,0,,
526.6,2026-08-03T23:40:53.646827+00:00,head,base_left_wheel,3461,33,0,0,,
526.6,2026-08-03T23:40:53.646827+00:00,head,base_back_wheel,3491,34,0,0,,
