08-05-2026 17:38:19 RAM 2149/7620MB (lfb 2x4MB) SWAP 0/3810MB (cached 0MB) CPU [0%@1728,0%@1728,100%@1728,0%@1728,0%@1728,0%@1728] GR3D_FREQ 0% cpu@53.781C soc2@51.625C soc0@53.218C gpu@54.343C tj@54.343C soc1@53C VDD_IN 8653mW/8709mW VDD_CPU_GPU_CV 2360mW/2291mW VDD_SOC 3685mW/3726mW
08-05-2026 17:38:20 RAM 2149/7620MB (lfb 2x4MB) SWAP 0/3810MB (cached 0MB) CPU [0%@1728,0%@1728,100%@1728,1%@1728,0%@1728,0%@1728] GR3D_FREQ 0% cpu@53.75C soc2@51.625C soc0@53.25C gpu@54.468C tj@54.468C soc1@53C VDD_IN 8693mW/8709mW VDD_CPU_GPU_CV 2360mW/2292mW VDD_SOC 3685mW/3725mW
08-05-2026 17:38:21 RAM 2080/7620MB (lfb 4x4MB) SWAP 0/3810MB (cached 0MB) CPU [0%@1728,0%@1728,94%@1728,0%@1728,0%@1728,0%@1728] GR3D_FREQ 0% cpu@53.406C soc2@51.718C soc0@53.25C gpu@54.531C tj@54.531C soc1@53.125C VDD_IN 8613mW/8707mW VDD_CPU_GPU_CV 2320mW/2293mW VDD_SOC 3685mW/3724mW
08-05-2026 17:38:22 RAM 2081/7620MB (lfb 2x4MB) SWAP 0/3810MB (cached 0MB) CPU [1%@1728,0%@1728,3%@1728,0%@1728,0%@1728,0%@1728] GR3D_FREQ 0% cpu@53.25C soc2@51.656C soc0@53.375C gpu@54.5C tj@54.5C soc1@53.156C VDD_IN 8413mW/8700mW VDD_CPU_GPU_CV 1880mW/2284mW VDD_SOC 3685mW/3723mW
08-05-2026 17:38:23 RAM 2081/7620MB (lfb 3x4MB) SWAP 0/3810MB (cached 0MB) CPU [0%@1728,0%@1728,4%@1728,1%@1728,0%@1728,0%@1728] GR3D_FREQ 0% cpu@53.375C soc2@51.437C soc0@53.406C gpu@54.468C tj@54.468C soc1@53C VDD_IN 8413mW/8694mW VDD_CPU_GPU_CV 1840mW/2275mW VDD_SOC 3685mW/3722mW
08-05-2026 17:38:24 RAM 2082/7620MB (lfb 2x4MB) SWAP 0/3810MB (cached 0MB) CPU [0%@1728,0%@1728,2%@1728,2%@1728,0%@1728,0%@1728] GR3D_FREQ 0% cpu@53.406C soc2@51.625C soc0@53.5C gpu@54.5C tj@54.5C soc1@53.062C VDD_IN 8453mW/8689mW VDD_CPU_GPU_CV 1840mW/2266mW VDD_SOC 3685mW/3722mW
08-05-2026 17:38:25 RAM 2082/7620MB (lfb 2x4MB) SWAP 0/3810MB (cached 0MB) CPU [1%@1728,0%@1728,4%@1728,1%@1728,0%@1728,0%@1728] GR3D_FREQ 0% cpu@53.437C soc2@51.593C soc0@53.406C gpu@54.531C tj@54.531C soc1@53.187C VDD_IN 8453mW/8684mW VDD_CPU_GPU_CV 1800mW/2256mW VDD_SOC 3685mW/3721mW
08-05-2026 17:38:26 RAM 2083/7620MB (lfb 3x4MB) SWAP 0/3810MB (cached 0MB) CPU [0%@1728,0%@1728,4%@1728,1%@1728,0%@1728,0%@1728] GR3D_FREQ 0% cpu@53.531C soc2@51.687C soc0@53.312C gpu@54.562C tj@54.562C soc1@53.125C VDD_IN 8453mW/8680mW VDD_CPU_GPU_CV 1840mW/2248mW VDD_SOC 3685mW/3720mW
08-05-2026 17:38:27 RAM 2083/7620MB (lfb 2x4MB) SWAP 0/3810MB (cached 0MB) CPU [0%@1728,0%@1728,3%@1728,2%@1728,0%@1728,0%@1728] GR3D_FREQ 0% cpu@53.25C soc2@51.687C soc0@53.406C gpu@54.625C tj@54.625C soc1@53.281C VDD_IN 8453mW/8675mW VDD_CPU_GPU_CV 1840mW/2240mW VDD_SOC 3685mW/3719mW
08-05-2026 17:38:28 RAM 2083/7620MB (lfb 4x4MB) SWAP 0/3810MB (cached 0MB) CPU [1%@1728,0%@1728,2%@1728,0%@1728,0%@1728,0%@1728] GR3D_FREQ 0% cpu@53.375C soc2@51.75C soc0@53.406C gpu@54.531C tj@54.531C soc1@53.312C VDD_IN 8453mW/8671mW VDD_CPU_GPU_CV 1840mW/2232mW VDD_SOC 3685mW/3719mW
