elapsed_s,timestamp,bus,motor,position,temp_c,current,load,target,baseline
560.6,2026-08-05T04:15:42.629675+00:00,arms,left_elbow_flex,1643,36,3,68,1629,1643
560.6,2026-08-05T04:15:42.629675+00:00,arms,left_wrist_flex,2174,35,1,32,2169,2173
560.6,2026-08-05T04:15:42.629675+00:00,arms,left_wrist_roll,1987,34,0,1044,1989,1987
560.6,2026-08-05T04:15:42.629675+00:00,arms,left_gripper,2014,37,0,0,2014,2014
560.6,2026-08-05T04:15:42.629675+00:00,arms,right_shoulder_pan,1968,38,1,1050,1974,1968
560.6,2026-08-05T04:15:42.629675+00:00,arms,right_shoulder_lift,2098,40,6,112,2049,2096
560.6,2026-08-05T04:15:42.629675+00:00,arms,right_elbow_flex,2128,40,4,76,2097,2127
560.6,2026-08-05T04:15:42.629675+00:00,arms,right_wrist_flex,1986,35,0,34,1976,1985
560.6,2026-08-05T04:15:42.629675+00:00,arms,right_wrist_roll,2109,34,0,1048,2114,2109
560.6,2026-08-05T04:15:42.629675+00:00,arms,right_gripper,2460,39,1,42,2446,2460
560.6,2026-08-05T04:15:42.629675+00:00,head,head_motor_1,2158,26,0,0,,
560.6,2026-08-05T04:15:42.629675+00:00,head,head_motor_2,1944,28,0,0,,
560.6,2026-08-05T04:15:42.629675+00:00,head,base_left_wheel,3450,27,0,0,,
560.6,2026-08-05T04:15:42.629675+00:00,head,base_back_wheel,3490,28,0,0,,
560.6,2026-08-05T04:15:42.629675+00:00,head,base_right_wheel,2180,27,0,0,,
561.6,2026-08-05T04:15:43.630735+00:00,arms,left_shoulder_pan,1851,37,1,1060,1857,1851
561.6,2026-08-05T04:15:43.630735+00:00,arms,left_shoulder_lift,2402,36,2,64,2389,2402
561.6,2026-08-05T04:15:43.630735+00:00,arms,left_elbow_flex,1643,36,3,68,1629,1643
561.6,2026-08-05T04:15:43.630735+00:00,arms,left_wrist_flex,2174,35,1,32,2169,2173
561.6,2026-08-05T04:15:43.630735+00:00,arms,left_wrist_roll,1987,34,0,1044,1989,1987
561.6,2026-08-05T04:15:43.630735+00:00,arms,left_gripper,2014,37,0,0,2014,2014
561.6,2026-08-05T04:15:43.630735+00:00,arms,right_shoulder_pan,1968,38,1,1050,1974,1968
561.6,2026-08-05T04:15:43.630735+00:00,arms,right_shoulder_lift,2098,40,5,112,2049,2096
561.6,2026-08-05T04:15:43.630735+00:00,arms,right_elbow_flex,2128,40,4,76,2097,2127
561.6,2026-08-05T04:15:43.630735+00:00,arms,right_wrist_flex,1986,35,0,34,1976,1985
561.6,2026-08-05T04:15:43.630735+00:00,arms,right_wrist_roll,2109,34,1,1048,2114,2109
561.6,2026-08-05T04:15:43.630735+00:00,arms,right_gripper,2460,39,1,42,2446,2460
561.6,2026-08-05T04:15:43.630735+00:00,head,head_motor_1,2158,26,0,0,,
561.6,2026-08-05T04:15:43.630735+00:00,head,head_motor_2,1944,28,0,0,,
561.6,2026-08-05T04:15:43.630735+00:00,head,base_left_wheel,3450,27,0,0,,
561.6,2026-08-05T04:15:43.630735+00:00,head,base_back_wheel,3490,28,0,0,,
561.6,2026-08-05T04:15:43.630735+00:00,head,base_right_wheel,2180,27,0,0,,
562.6,2026-08-05T04:15:44.631775+00:00,arms,left_shoulder_pan,1851,37,1,1060,1857,1851
562.6,2026-08-05T04:15:44.631775+00:00,arms,left_shoulder_lift,2402,37,2,64,2389,2402
562.6,2026-08-05T04:15:44.631775+00:00,arms,left_elbow_flex,1643,36,3,68,1629,1643
562.6,2026-08-05T04:15:44.631775+00:00,arms,left_wrist_flex,2174,35,1,32,2169,2173
562.6,2026-08-05T04:15:44.631775+00:00,arms,left_wrist_roll,1987,34,0,1044,1989,1987
562.6,2026-08-05T04:15:44.631775+00:00,arms,left_gripper,2014,37,0,0,2014,2014
562.6,2026-08-05T04:15:44.631775+00:00,arms,right_shoulder_pan,1968,38,0,1050,1974,1968
562.6,2026-08-05T04:15:44.631775+00:00,arms,right_shoulder_lift,2098,40,6,112,2049,2096
562.6,2026-08-05T04:15:44.631775+00:00,arms,right_elbow_flex,2128,40,4,76,2097,2127
562.6,2026-08-05T04:15:44.631775+00:00,arms,right_wrist_flex,1986,35,0,34,1976,1985
562.6,2026-08-05T04:15:44.631775+00:00,arms,right_wrist_roll,2109,34,0,1048,2114,2109
562.6,2026-08-05T04:15:44.631775+00:00,arms,right_gripper,2460,39,1,42,2446,2460
562.6,2026-08-05T04:15:44.631775+00:00,head,head_motor_1,2158,26,0,0,,
562.6,2026-08-05T04:15:44.631775+00:00,head,head_motor_2,1944,27,0,0,,
562.6,2026-08-05T04:15:44.631775+00:00,head,base_left_wheel,3449,26,0,0,,
562.6,2026-08-05T04:15:44.631775+00:00,head,base_back_wheel,3490,28,0,0,,
562.6,2026-08-05T04:15:44.631775+00:00,head,base_right_wheel,2180,27,0,0,,
563.6,2026-08-05T04:15:45.632819+00:00,arms,left_shoulder_pan,1851,38,1,1060,1857,1851
563.6,2026-08-05T04:15:45.632819+00:00,arms,left_shoulder_lift,2402,36,3,64,2389,2402
563.6,2026-08-05T04:15:45.632819+00:00,arms,left_elbow_flex,1643,36,2,68,1629,1643
563.6,2026-08-05T04:15:45.632819+00:00,arms,left_wrist_flex,2174,35,1,32,2169,2173
563.6,2026-08-05T04:15:45.632819+00:00,arms,left_wrist_roll,1987,34,0,1044,1989,1987
563.6,2026-08-05T04:15:45.632819+00:00,arms,left_gripper,2014,37,0,0,2014,2014
563.6,2026-08-05T04:15:45.632819+00:00,arms,right_shoulder_pan,1968,38,0,1050,1974,1968
563.6,2026-08-05T04:15:45.632819+00:00,arms,right_shoulder_lift,2098,40,6,112,2049,2096
563.6,2026-08-05T04:15:45.632819+00:00,arms,right_elbow_flex,2128,40,4,76,2097,2127
563.6,2026-08-05T04:15:45.632819+00:00,arms,right_wrist_flex,1986,35,1,34,1976,1985
563.6,2026-08-05T04:15:45.632819+00:00,arms,right_wrist_roll,2109,34,0,1048,2114,2109
